id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
13615,Women Tshirts,5,white,regular,long,printed,typography,default,regular sleeves,default,dummy,dummy
13616,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13617,Women Tshirts,5,default,regular,regular,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13618,Women Tshirts,5,default,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13619,Women Tshirts,5,black,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13620,Women Tshirts,5,white,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13621,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13622,Women Tshirts,5,pink,regular,regular,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13623,Women Tshirts,5,white,regular,regular,printed,typography,default,regular sleeves,default,dummy,dummy
13624,Women Tshirts,5,pink,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13625,Women Tshirts,5,default,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13626,Women Tshirts,5,white,regular,crop,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13627,Women Tshirts,5,maroon,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13628,Women Tshirts,5,black,regular,regular,printed,funky print,long sleeves,regular sleeves,default,dummy,dummy
13629,Women Tshirts,5,yellow,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13630,Women Tshirts,5,black,regular,crop,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13631,Women Tshirts,5,black,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13632,Women Tshirts,5,maroon,regular,crop,solid,solid,short sleeves,regular sleeves,default,dummy,dummy
13633,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13634,Women Tshirts,5,pink,loose,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13635,Women Tshirts,5,pink,loose,long,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13636,Women Tshirts,5,white,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13637,Women Tshirts,5,white,loose,long,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13638,Women Tshirts,5,white,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13639,Women Tshirts,5,white,regular,crop,printed,typography,long sleeves,cuffed sleeves,default,dummy,dummy
13640,Women Tshirts,5,white,regular,crop,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13641,Women Tshirts,5,maroon,regular,crop,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13642,Women Tshirts,5,multicolor,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13643,Women Tshirts,5,black,regular,long,printed,quirky,short sleeves,regular sleeves,default,dummy,dummy
13644,Women Tshirts,5,white,regular,crop,printed,graphic,short sleeves,regular sleeves,default,dummy,dummy
13645,Women Tshirts,5,maroon,regular,regular,solid,solid,long sleeves,regular sleeves,default,dummy,dummy
13646,Women Tshirts,5,default,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13647,Women Tshirts,5,default,regular,regular,printed,default,short sleeves,regular sleeves,default,dummy,dummy
13648,Women Tshirts,5,multicolor,regular,regular,default,default,short sleeves,regular sleeves,default,dummy,dummy
13649,Women Tshirts,5,yellow,regular,crop,printed,funky print,long sleeves,cuffed sleeves,default,dummy,dummy
13650,Women Tshirts,5,white,regular,regular,printed,funky print,short sleeves,regular sleeves,default,dummy,dummy
13651,Women Tshirts,5,black,regular,regular,printed,typography,short sleeves,regular sleeves,default,dummy,dummy
13652,Women Tshirts,5,yellow,regular,regular,printed,funky print,long sleeves,regular sleeves,default,dummy,dummy
