id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
11155,Kurtis,9,red,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11156,Kurtis,9,purple,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11157,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11158,Kurtis,9,multicolor,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11159,Kurtis,9,multicolor,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11160,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11161,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11162,Kurtis,9,red,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11163,Kurtis,9,green,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11164,Kurtis,9,green,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11165,Kurtis,9,grey,a-line,calf length,party,default,default,default,three-quarter sleeves,regular,
11166,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11167,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11168,Kurtis,9,purple,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11169,Kurtis,9,yellow,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11170,Kurtis,9,green,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11171,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
11172,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11173,Kurtis,9,green,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11174,Kurtis,9,green,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11175,Kurtis,9,purple,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11176,Kurtis,9,navy blue,a-line,calf length,party,default,default,default,three-quarter sleeves,regular,
11177,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
11178,Kurtis,9,grey,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11179,Kurtis,9,purple,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11180,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11181,Kurtis,9,purple,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11182,Kurtis,9,black,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
11183,Kurtis,9,yellow,a-line,calf length,party,default,default,default,three-quarter sleeves,regular,
11184,Kurtis,9,yellow,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11185,Kurtis,9,multicolor,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11186,Kurtis,9,yellow,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11187,Kurtis,9,yellow,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11188,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11189,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
11190,Kurtis,9,grey,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11191,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11192,Kurtis,9,grey,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11193,Kurtis,9,purple,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
11194,Kurtis,9,purple,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
11195,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
11196,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
