id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
0,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
1,Men Tshirts,5,white,round,printed,typography,long sleeves,,,,,
2,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
3,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
4,Men Tshirts,5,black,round,solid,solid,long sleeves,,,,,
5,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
6,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
7,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
8,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
9,Men Tshirts,5,multicolor,round,printed,typography,short sleeves,,,,,
10,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
11,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
12,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
13,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
14,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
15,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
16,Men Tshirts,5,black,round,solid,solid,long sleeves,,,,,
17,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
18,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
19,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
20,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
21,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
22,Men Tshirts,5,multicolor,round,printed,solid,short sleeves,,,,,
23,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
24,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
25,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
26,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
27,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
28,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
29,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
30,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
31,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
32,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
33,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
34,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
35,Men Tshirts,5,default,polo,printed,default,short sleeves,,,,,
36,Men Tshirts,5,black,round,printed,typography,long sleeves,,,,,
37,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
38,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
