id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
23564,Women Tops & Tunics,10,navy blue,fitted,crop,high,casual,default,default,sleeveless,sleeveless,knitted
23565,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,default
23566,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,applique
23567,Women Tops & Tunics,10,pink,regular,regular,v-neck,casual,solid,solid,short sleeves,default,knitted
23568,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,default,solid,short sleeves,regular sleeves,knitted
23569,Women Tops & Tunics,10,pink,regular,regular,square neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
23570,Women Tops & Tunics,10,black,default,regular,default,casual,default,floral,three-quarter sleeves,regular sleeves,waist tie-ups
23571,Women Tops & Tunics,10,red,fitted,regular,sweetheart neck,casual,solid,solid,long sleeves,puff sleeves,knitted
23572,Women Tops & Tunics,10,yellow,boxy,crop,v-neck,casual,printed,typography,short sleeves,regular sleeves,tie-ups
23573,Women Tops & Tunics,10,yellow,regular,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,waist tie-ups
23574,Women Tops & Tunics,10,white,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
23575,Women Tops & Tunics,10,multicolor,default,crop,default,casual,printed,default,sleeveless,default,default
23576,Women Tops & Tunics,10,peach,default,regular,high,casual,solid,solid,long sleeves,regular sleeves,tie-ups
23577,Women Tops & Tunics,10,peach,fitted,crop,high,casual,solid,solid,long sleeves,regular sleeves,knitted
23578,Women Tops & Tunics,10,navy blue,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,knitted
23579,Women Tops & Tunics,10,blue,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted
23580,Women Tops & Tunics,10,blue,fitted,crop,round neck,casual,solid,solid,short sleeves,default,knitted
23581,Women Tops & Tunics,10,black,regular,regular,round neck,casual,printed,default,long sleeves,puff sleeves,knitted
23582,Women Tops & Tunics,10,black,regular,regular,round neck,casual,printed,graphic,sleeveless,sleeveless,knitted
23583,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted
23584,Women Tops & Tunics,10,green,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,knitted
23585,Women Tops & Tunics,10,white,regular,regular,high,casual,solid,solid,short sleeves,default,ruffles
23586,Women Tops & Tunics,10,black,regular,regular,round neck,casual,printed,typography,short sleeves,regular sleeves,tie-ups
23587,Women Tops & Tunics,10,maroon,regular,regular,v-neck,casual,printed,default,three-quarter sleeves,default,default
23588,Women Tops & Tunics,10,black,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,knitted
23589,Women Tops & Tunics,10,navy blue,fitted,regular,high,casual,solid,solid,long sleeves,regular sleeves,knitted
